rnbqkb1r/ppp2ppp/8/3p4/3Pn3/P4N2/1PP2PPP/RNBQKB1R b KQkq - 0 6	f8d6,c7c6,c8f5,b8c6,g7g6,b8d7,f8e7,c8g4,c7c5,c8e6,h7h6,e4d6,a7a5,e4f6,d8e7,a7a6
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq - 0 5	c7c5,e8g8,h7h6,b8c6,c7c6,a7a5,a7a6,b7b6,d5c4,d5d4,b8d7,b8a6,c8d7,d8d7,e7d6,e7b4
r1bqk2r/pppp1ppp/2n2n2/1B6/1b1NP3/2P5/PP3PPP/RNBQK2R b KQkq - 0 6	b4c5,b4a5,c6d4,b4e7,b4f8,b4d6,d8e7,a7a5,e8g8,f6e4,a7a6,h7h6,h7h5,c6e5,b4c3,g7g6
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQK2R w KQ - 1 6	e1g1,b2b3,c1f4,d1c2,b1c3,c4d5,d3d4,f3e5,b1a3,a2a3,c1d2,b1d2,h2h3,d1a4,d1b3,h2h4
rn1q1rk1/ppp1ppbp/3p1np1/8/3PPBb1/2N2N2/PPP1BPPP/R2QK2R w KQ - 6 7	d1d2,e1g1,f4e3,h2h3,d1d3,a2a4,f3d2,a2a3,f4g5,f4c1,g2g3,f3g5,a1b1,h2h4,f4d2,a1c1
r1bqk2r/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQK2R w KQkq - 1 7	c1e3,e1g1,b5c6,c1g5,f2f3,d4b3,d4f5,d1d3,d1a4,b2b4,d4c6,b5d3,c1f4,b1d2,a2a4,d4c2
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/P4N2/1PP2PPP/RNBQKB1R w KQkq - 1 7	c2c4,f1d3,f1e2,c1e3,h2h3,b1d2,b1c3,f3d2,g2g3,f1b5,a3a4,c2c3,c1d2,d1d3,a1a2,b2b3
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P4P/P1NP1NP1/1P2PPB1/1RBQK2R b K - 0 9	a8b8,c8f5,c8e6,c8d7,a6a5,f6h5,b7b5,h7h6,f8e8,c8g4,h7h5,f6g4,d8d7,e7e6,b7b6,a8a7
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPB2/2N2N2/PPP1BPPP/R2QK2R b KQ - 5 6	b8d7,c7c5,c8g4,b8c6,a7a6,c7c6,f8e8,c8e6,a7a5,d8e8,b7b6,d6d5,b8a6,f6h5,e7e6,c8d7
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQK2R w K - 0 9	c3d5,b2b3,a2a3,e1g1,c1g5,f3h2,c1e3,a2a4,c1d2,d1d2,c1f4,d1c2,f3g5,b1a1,f3g1,f3d2
rnbqk2r/ppp3pp/3bpn2/3p1p2/3P1B2/4PNP1/PPP2PBP/RN1QK2R b KQkq - 0 6	e8g8,b7b5,c8d7,f6e4,d6e7,h7h6,c7c6,b7b6,d6b4,b8d7,a7a6,a7a5,d8e7,b8c6,c7c5,b8a6
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQ1RK1 b - - 1 7	b8c6,d8b6,h7h6,b7b6,f8e8,a7a6,c5d4,b8d7,c8d7,b8a6,a7a5,d8d7,f6e4,d8a5,g8h8,h7h5
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R b KQkq - 1 8	a8b8,b7b5,c8e6,f8e7,f6g4,c6d4,c8g4,c6b4,h7h6,h7h5,c8d7,d8c7,g7g6,b7b6,d6d5,f6e4
r1b1k2r/pp2nppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R b KQkq - 4 9	c8d7,h7h6,e8g8,a5c7,c5c4,a5b6,a7a6,a5d8,e7f5,c6b8,a8b8,e7g6,h8f8,e8f8,e7g8,c6d8
rn1qk2r/pppb2pp/3bpn2/3p1p2/3P1B2/4PNP1/PPP2PBP/RN1QK2R w KQkq - 1 7	b1d2,e1g1,f3e5,c2c4,d1e2,f4g5,d1d3,d1c1,a2a3,h2h4,a2a4,f4e5,c2c3,f3d2,g2f1,h2h3
1rbqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R w KQk - 2 9	e3g5,a3b1,c3d5,f1d3,f1e2,a3c4,g2g3,f2f3,a1c1,h2h3,d1d3,d1f3,h2h4,f1c4,d1c1,e3d2
r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQ1RK1 w - - 2 8	d4c5,c4d5,c1e3,e2e3,c1f4,b2b3,c1g5,a3c2,h2h3,d1a4,h2h4,a3b5,a1b1,f1e1,d1d2,a3b1
r3k2r/pp1bnppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R w KQkq - 5 10	f1e2,d1c1,f1b5,a1b1,h2h4,f1d3,g2g3,h2h3,d1b1,d4c5,a1c1,d1e2,a1a3,f3g5,a1a2,c3c4
r1bq1rk1/ppp2pbp/2n2np1/4p3/2P1P3/2N1BN2/PP2BPPP/R2QK2R w KQ - 2 9	d1d8,h2h3,d1d3,a2a4,e1g1,e3g5,a1c1,a1b1,c4c5,h2h4,a2a3,b2b3,d1c2,f3d2,d1d2,e3c5
rnbq1rk1/1pp1bppp/4pn2/p2p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 b - - 1 7	b8d7,h7h6,b8c6,c8d7,a5a4,c7c6,c7c5,f6e4,f6e8,f8e8,b8a6,d5c4,g8h8,a8a6,a8a7,f6d7
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQ - 1 8	b8c6,c7c6,d8d1,c8g4,f8e8,f6g4,b8a6,b8d7,f6h5,h7h5,a7a5,b7b6,c8d7,c8e6,h7h6,a7a6
r2qkb1r/1p3ppp/p1np1n2/4p3/P3P1b1/N1N5/1PP2PPP/R1BQKB1R w KQkq - 2 9	f1e2,f2f3,d1d2,d1d3,c3e2,f1a6,d1g4,d1d5,c1g5,c1d2,c1e3,d1e2,f1d3,f1c4,c3d5,h2h3
rnbq1rk1/1pp1bppp/4pn2/p2p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7	d1c2,b1c3,b2b3,f3e5,a2a3,c1g5,h2h4,d1d3,d1a4,e2e3,h2h3,d1b3,a2a4,b1d2,f1e1,c1e3
r1bqk2r/ppp2ppp/2p2n2/4p3/4P3/P1P2N2/2PP1PPP/R1BQK2R b KQkq - 0 7	f6e4,d8e7,c6c5,c8g4,e8g8,f6d7,c8e6,h7h6,d8d6,b7b6,a7a5,c8d7,a7a6,d8d7,a8b8,b7b5
rnbq1rk1/ppp2ppp/4pn2/8/1bBP4/2N1P2P/PP3PP1/R1BQK1NR b KQ - 0 7	c7c5,a7a6,b8d7,b4e7,c8d7,b7b6,h7h6,d8e7,f8e8,b4a5,b8c6,b4d6,e6e5,d8d7,c7c6,f6d5
r1bqk2r/ppp2ppp/2p5/4p3/4n3/P1P2N2/2PP1PPP/R1BQK2R w KQkq - 0 8	d1e2,e1g1,c3c4,h2h3,a3a4,a1b1,c1b2,d2d3,f3g1,f3e5,e1f1,a1a2,e1e2,h2h4,h1g1,d2d4
r1bqkb1r/1p3ppp/p1np1n2/4p3/P3P3/N1N5/1PP2PPP/R1BQKB1R b KQkq - 1 8	f8e7,c8g4,c8e6,c6b4,d6d5,h7h6,a8b8,c6d4,g7g6,c6e7,b7b6,c8d7,h7h5,c6a7,d8c7,a6a5
rnbq1rk1/pp3ppp/4pn2/2p5/1bBP4/2N1P2P/PP3PP1/R1BQK1NR w KQ - 0 8	a2a3,g1f3,g1e2,c4d3,c4e2,d1d3,c4b3,d4c5,d1b3,d1d2,a1b1,d1a4,d1e2,c4f1,a2a4,c1d2
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQR1K1 w - - 0 8	c4d5,f3e5,f3d2,b1d2,b1c3,d1c2,d1a4,d1b3,b2b3,d1d3,f3h4,c1f4,f3g5,c1g5,a2a3,h2h3
rnbqk2r/pp2bppp/4pn2/8/2Pp4/3P1NP1/PPQ2PBP/RNB1K2R b KQkq - 0 8	b8c6,e8g8,h7h6,a7a5,e6e5,f6d7,d8b6,e7c5,a7a6,e7b4,f6g4,h7h5,d8a5,e7f8,d8d6,d8d7
r1bq1rk1/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQ1RK1 w - - 3 8	f2f3,b5c6,f1e1,c1g5,c1e3,d4b3,b1d2,d1d3,b5d3,b2b4,d4f5,a2a4,c1f4,d4f3,h2h3,b5a4
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQR1K1 b - - 6 7	d7d5,h7h6,f6e4,a7a5,b8a6,c7c5,f8e8,e7b4,d8c8,g8h8,a7a6,c7c6,d7d6,d8e8,b7c6,e7d6
r2qk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BN2Q1P/PPPP1PP1/R1B1R1K1 b kq - 0 10	c6d4,c6a5,e8g8,a8b8,a8c8,g7g6,d8d7,a8a7,h7h6,d8c8,h7h5,d8b8,e7f8,c6a7,h8f8,c6b4
r1bqkb1r/1p2pppp/p1np4/8/4P1n1/1NN5/PPPB1PPP/R2QKB1R b KQkq - 3 8	g4f6,a8b8,g7g6,c8e6,c8d7,h7h5,e7e5,h7h6,b7b6,g4e5,a6a5,c6b4,d8b6,b7b5,d8c7,f7f5
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR b KQkq - 4 7	d8d7,c6a5,e7e5,f6h5,d8c8,d8b6,g4c8,a8c8,b7b6,g4d7,g7g6,a7a5,a7a6,h7h6,b7b5,g7g5
r3kb1r/pp1qpppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR w KQkq - 5 8	h2h3,b1d2,g1e2,a2a3,a2a4,d3b5,b3a4,b3c2,e1f1,d3e2,d3c2,f4g3,g2g3,b1a3,f4e3,f2f3
r1bqkb1r/1p2pppp/p1np1n2/8/4P3/1NN5/PPPB1PPP/R2QKB1R w KQkq - 4 9	d2e3,f2f4,f1e2,c3d5,h2h4,d2f4,f1d3,d1f3,h2h3,f2f3,d1e2,a2a4,d2g5,g2g3,f1c4,a2a3
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PP4/PP3NP1/4PPBP/RNBQ1RK1 w - - 0 9	d4d5,c1b2,b1c3,e2e3,b1d2,a1a2,f1e1,d4c5,h2h4,h2h3,d1c2,d1d3,a3a4,c1e3,d1d2,g1h1
r2qk2r/2p1bppp/p2p1n2/1p2p3/3nP3/1BN2Q1P/PPPP1PP1/R1B1R1K1 w kq - 1 11	f3d1,f3g3,f3e3,f3d3,b3f7,e1e3,f3f5,f3f6,a2a4,c3d5,b3d5,d2d3,f3e2,g1f1,a2a3,e1d1
