rnbqk2r/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq - 0 5	e8h8	c7c5
1rbqk2r/pp2ppbp/2np1np1/2pN4/4P3/3P1NP1/PPP2PBP/R1BQ1RK1 b k - 5 8	b7b5	e8h8
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R w KQkq - 4 9	d1f3	f2f4
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQ1RK1 w - - 3 9	h2h3	c3d5
r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 7	d7d6	c5d4
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b - - 2 6	c7c5	h7h6
r1bqkb1r/pp2pp1p/2np1np1/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7	c1e3	e1h1
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R b KQkq - 2 8	e8h8	f7f6
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQ - 3 9	a2a3	c1e3
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w - - 4 8	c3d5	a2a3
r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 b - - 2 7	c8g4	c6a5
r1bqk2r/pp2npbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq - 2 8	h2h4	e1h1
r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 4 8	d1d2	e1h1
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 5 6	d7d6	e8h8
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2NBPN2/PP3PPP/R1BQK2R b KQ - 1 7	b4d6	c7c6
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/N1N5/PPP2PPP/R1BQKB1R b KQkq - 1 7	c8g4	f8e7
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R w KQ - 6 9	f2f3	e1h1
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQ - 1 6	b7b6	d5c4
r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/2NP1N2/1PP2PPP/R1BQK2R w KQ - 1 7	h2h3	e1h1
rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 0 6	c7c6	e8h8
r1b2rk1/pp2nppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R w KQ - 5 10	f1e2	f1d3
rnbq1rk1/1p2bppp/2p1pn2/p2p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 8	b2b3	f1e1
r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R w KQkq - 4 9	d1f3	f1e2
r2qk2r/pp1n1ppp/2p1pn2/5b2/PbNP4/2N1P3/1P2BPPP/R1BQK2R b KQkq - 2 9	d8c7	e8h8
r2qkbnr/pp3ppp/2n1p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 3 7	a7a6	h7h6
r1bqk2r/ppp1bppp/2n1pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQ1RK1 w kq - 2 7	d2d3	e2e3
1rbqk2r/pp2npbp/2npp1p1/2p5/4PP2/2NPBNP1/PPPQ2BP/R3K2R b KQk - 5 9	b7b5	e8h8
r1bq1rk1/pp2ppbp/2np1np1/2pN4/4P3/3P1NP1/PPP2PBP/R1BQ1RK1 b - - 5 8	f6d5	b7b5
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - - 2 9	c1b2	d1d3
r1bqk2r/pp2npbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 b kq - 3 8	b7b6	e8h8
