rnbqk2r/ppp1bppp/4pn2/8/2p5/3P1NP1/PP2PPBP/RNBQK2R w KQkq - 0 6	d1a4	14	22
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq - 0 5	e8g8	1	22
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/P4N2/1PP2PPP/RNBQKB1R b KQkq - 0 6	f8d6	10	22
r1bqk2r/pppp1ppp/2n2n2/1B6/1b1NP3/2P5/PP3PPP/RNBQK2R b KQkq - 0 6	b4c5	11	22
r1bqk2r/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQK2R w KQkq - 1 7	e1g1	-10	22
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/P4N2/1PP2PPP/RNBQKB1R w KQkq - 1 7	c2c4	-7	22
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQK2R w K - 0 9	a2a3	-8	22
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPB2/2N2N2/PPP1BPPP/R2QK2R b KQ - 5 6	c8g4	-23	22
r1bq1rk1/ppp1ppbp/2np1np1/8/3PPB2/2N2N2/PPP1BPPP/R2QK2R w KQ - 6 7	h2h4	26	22
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQ1RK1 b - - 1 9	a8b8	13	22
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R b KQkq - 1 8	a8b8	10	22
r1bqkb1r/1p3ppp/p1np4/4p3/4P1n1/N1N1B3/PPP2PPP/R2QKB1R w KQkq - 2 9	a3c4	47	22
rnbqk2r/ppp3pp/3bpn2/3p1p2/3P1B2/4PNP1/PPP2PBP/RN1QK2R b KQkq - 0 6	c8d7	-49	22
r1b1k2r/pp2nppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R2QKB1R b KQkq - 4 9	c8d7	-35	22
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQ1RK1 b - - 1 7	b8c6	5	22
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQ - 1 8	b8c6	-1	22
rnbq1rk1/ppp3pp/3bpn2/3p1p2/3P1B2/4PNP1/PPP2PBP/RN1QK2R w KQ - 1 7	c2c4	39	22
