rn1qkb1r/pp2nppp/2p1p3/3pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R b KQkq - 2 7 ; Caro-Kann Advance ; games=56 ; white_score=0.6161
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq - 1 5 ; Caro-Kann Advance ; games=53 ; white_score=0.5849
rn1qkbnr/pp3ppp/4p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq - 1 6 ; Caro-Kann Advance ; games=52 ; white_score=0.4712
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5 ; Caro-Kann Advance ; games=41 ; white_score=0.5488
r2qkbnr/pp1n1ppp/4p3/1BppPb2/3P4/5N2/PPPN1PPP/R1BQ1RK1 b kq - 3 7 ; Caro-Kann Advance ; games=35 ; white_score=0.4714
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 6 ; Caro-Kann Classical ; games=57 ; white_score=0.6228
rn1qkbnr/pp2pppp/2p3b1/8/3P4/4B1N1/PPP2PPP/R2QKBNR b KQkq - 4 6 ; Caro-Kann Classical ; games=57 ; white_score=0.5702
rn1qkb1r/pp2pppp/2p2nb1/8/3P4/2P3N1/PP2NPPP/R1BQKB1R b KQkq - 0 7 ; Caro-Kann Classical ; games=51 ; white_score=0.5196
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6N1/PPP1NPPP/R1BQKB1R b KQkq - 4 6 ; Caro-Kann Classical ; games=51 ; white_score=0.4804
rn1qkbnr/pp3ppp/2p1p1b1/8/3P3P/4B1N1/PPP2PP1/R2QKBNR b KQkq - 0 7 ; Caro-Kann Classical ; games=48 ; white_score=0.4479
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R b KQkq - 1 7 ; Caro-Kann Classical ; games=48 ; white_score=0.4688
rn1qkb1r/pp2pppp/2p2nb1/8/3P1B2/5NN1/PPP2PPP/R2QKB1R b KQkq - 6 7 ; Caro-Kann Classical ; games=46 ; white_score=0.5543
r2qkb1r/pp1npppp/2p2nb1/8/3P3P/2P3N1/PP2NPP1/R1BQKB1R b KQkq - 0 8 ; Caro-Kann Classical ; games=38 ; white_score=0.5789
rn1qkbnr/pp2pppp/2p3b1/8/3P1B2/6N1/PPP2PPP/R2QKBNR b KQkq - 4 6 ; Caro-Kann Classical ; games=37 ; white_score=0.4054
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR b KQkq - 4 7 ; Caro-Kann Exchange ; games=60 ; white_score=0.6333
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b KQkq - 2 6 ; Caro-Kann Exchange ; games=58 ; white_score=0.5517
r1bqkb1r/pp3ppp/5n2/3pn3/8/2PB4/PP2NPPP/RNBQK2R w KQkq - 0 8 ; Caro-Kann Exchange ; games=48 ; white_score=0.4583
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP2NPPP/RNBQK2R b KQkq - 2 6 ; Caro-Kann Exchange ; games=46 ; white_score=0.5326
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP1N1PPP/R1BQK1NR b KQkq - 2 6 ; Caro-Kann Exchange ; games=45 ; white_score=0.5556
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB3P/PP3PP1/RNBQK1NR b KQkq - 0 6 ; Caro-Kann Exchange ; games=45 ; white_score=0.6222
r1bqkb1r/pp2pppp/2n2n2/3p2B1/3P4/2PB4/PP3PPP/RN1QK1NR b KQkq - 2 6 ; Caro-Kann Exchange ; games=44 ; white_score=0.4886
r3kb1r/pp1qpppp/2n2n2/3p4/3P1Bb1/1QPB3P/PP3PP1/RN2K1NR b KQkq - 0 8 ; Caro-Kann Exchange ; games=40 ; white_score=0.5125
rnbq1rk1/1pp1bppp/4pn2/p2p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7 ; Catalan Opening ; games=61 ; white_score=0.3525
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7 ; Catalan Opening ; games=58 ; white_score=0.5431
r1bq1rk1/pp1nbpp1/2p1pn1p/3p4/2PP4/5NP1/PPQ1PPBP/RNBR2K1 w - - 2 9 ; Catalan Opening ; games=48 ; white_score=0.5417
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w - - 0 8 ; Catalan Opening ; games=48 ; white_score=0.4062
rnbq1rk1/pp2bpp1/2p1pn1p/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 w - - 0 8 ; Catalan Opening ; games=42 ; white_score=0.5833
rnbqk2r/ppp3pp/3bpn2/3p1p2/3P1B2/4PNP1/PPP2PBP/RN1QK2R b KQkq - 0 6 ; Dutch Stonewall ; games=62 ; white_score=0.5000
rnbqkb1r/ppp3pp/4pn2/3p1p2/3P3P/5NP1/PPP1PPB1/RNBQK2R b KQkq - 0 5 ; Dutch Stonewall ; games=52 ; white_score=0.4808
rnbqk2r/ppp3pp/4pn2/3p1p2/1b1P4/1PP2NP1/P3PPBP/RNBQK2R b KQkq - 0 6 ; Dutch Stonewall ; games=48 ; white_score=0.5417
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2PP3P/5NP1/PPQ1PPB1/RNB1K2R b KQkq - 1 7 ; Dutch Stonewall ; games=41 ; white_score=0.6220
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 1 7 ; Dutch Stonewall ; games=35 ; white_score=0.4000
rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 0 6 ; Dutch Stonewall ; games=35 ; white_score=0.5714
rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP4/1P3NP1/P3PPBP/RNBQK2R b KQkq - 0 7 ; Dutch Stonewall ; games=34 ; white_score=0.5000
r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQK2R w K - 0 9 ; English Symmetrical ; games=64 ; white_score=0.4766
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NPP/PP1PPPB1/R1BQK2R b KQkq - 0 6 ; English Symmetrical ; games=56 ; white_score=0.5089
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQK2R b K - 1 8 ; English Symmetrical ; games=55 ; white_score=0.5091
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq - 0 6 ; English Symmetrical ; games=55 ; white_score=0.4727
r1bqk2r/pp1pppbp/2n2np1/2p5/Q1P5/2N2NP1/PP1PPPBP/R1B1K2R b KQkq - 5 6 ; English Symmetrical ; games=54 ; white_score=0.5278
r1bqk2r/pp1pppbp/2n2np1/2p5/P1P5/2N2NP1/1P1PPPBP/R1BQK2R b KQkq - 0 6 ; English Symmetrical ; games=54 ; white_score=0.5185
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQK2R b KQkq - 0 6 ; English Symmetrical ; games=53 ; white_score=0.5094
r1bq1rk1/pp2ppbp/2n3p1/2pn4/3P4/2N1PNP1/PP3PBP/R1BQK2R w KQ - 0 9 ; English Symmetrical ; games=53 ; white_score=0.5000
r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 7 ; English Symmetrical ; games=50 ; white_score=0.5400
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/R1BQK2R w KQ - 0 8 ; English Symmetrical ; games=49 ; white_score=0.5102
r1bq1rk1/pp2ppbp/2np1np1/2pP4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 8 ; English Symmetrical ; games=47 ; white_score=0.5319
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 5 6 ; English Symmetrical ; games=45 ; white_score=0.5778
r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQK2R b KQ - 0 7 ; English Symmetrical ; games=45 ; white_score=0.5556
r1bqk2r/pp2ppbp/2n2np1/2pp4/2P5/2N2NPP/PP1PPPB1/R1BQK2R w KQkq - 0 7 ; English Symmetrical ; games=45 ; white_score=0.4667
r1bq1rk1/pp1pppbp/2n2np1/2p5/P1P5/2NP1NP1/1P2PPBP/R1BQK2R b KQ - 0 7 ; English Symmetrical ; games=44 ; white_score=0.5909
r1bqk2r/pp1pppbp/2n2np1/2p5/2P4P/2N2NP1/PP1PPPB1/R1BQK2R b KQkq - 0 6 ; English Symmetrical ; games=41 ; white_score=0.4146
r1bqk2r/pp2ppbp/2n3p1/2pn4/8/2N1PNP1/PP1P1PBP/R1BQ1RK1 b kq - 1 8 ; English Symmetrical ; games=40 ; white_score=0.4625
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - - 2 7 ; English Symmetrical ; games=38 ; white_score=0.5000
r1bqk2r/ppp2ppp/2p2n2/4p3/4P3/P1P2N2/2PP1PPP/R1BQK2R b KQkq - 0 7 ; Four Knights Game ; games=61 ; white_score=0.4754
r1bq1rk1/pppp1ppp/2n2n2/1B2p3/4P3/2P2N1P/PPP2PP1/R1BQ1RK1 b - - 0 7 ; Four Knights Game ; games=51 ; white_score=0.5490
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5 ; Four Knights Game ; games=42 ; white_score=0.4286
r1bqk2r/pppp1ppp/5n2/4p3/Bb1nP3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 6 ; Four Knights Game ; games=41 ; white_score=0.5366
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/1P3N2/1P3PPP/RNB1KB1R w KQkq - 1 9 ; French Advance ; games=48 ; white_score=0.5000
r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/5N1P/PP2BPP1/RNBQK2R b KQkq - 0 8 ; French Advance ; games=47 ; white_score=0.5106
r1b1kbnr/pp3ppp/2n1p3/3pP3/3P4/1P3N2/1P3PPP/RNB1KB1R b KQkq - 0 8 ; French Advance ; games=41 ; white_score=0.4146
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq - 0 7 ; French Advance ; games=29 ; white_score=0.4655
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/8/PPP1N1PP/R1BQKBNR b KQkq - 1 6 ; French Classical ; games=56 ; white_score=0.5446
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2NB4/PPP3PP/R1BQK1NR w KQkq - 2 7 ; French Classical ; games=53 ; white_score=0.5566
r1bqk2r/pp1n1ppp/2n1p3/2bpP3/5P2/2NB1N2/PPP3PP/R1BQK2R b KQkq - 1 8 ; French Classical ; games=50 ; white_score=0.5000
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R b KQkq - 2 8 ; French Classical ; games=49 ; white_score=0.5408
rnbqkb1r/pp1n1ppp/4p3/3pP3/3Q1P2/2N1B3/PPP3PP/R3KBNR b KQkq - 0 7 ; French Classical ; games=48 ; white_score=0.5312
r1bqk2r/pp1n1ppp/2n1p3/2bpP3/5P2/2NB4/PPP3PP/R1BQK1NR w KQkq - 0 8 ; French Classical ; games=47 ; white_score=0.4787
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2NB4/PPP3PP/R1BQK1NR b KQkq - 1 6 ; French Classical ; games=39 ; white_score=0.4872
